title,description,release_date
it's always monday,"it's always monday- is a first person exploration game which deals with the theme of modern existentialism. You will see the world through the eyes of Bob and play your way through. Bob just woke up from a dream and is starting to realized that all of his life has been a lie. As you explore, a meaning will come forth and the paradoxes of life might start to make sense. Will you help Bob find his true meaning? The story is being told through the game mood, characters and visual storytelling. Did you like it's always monday ? Whitelist our up and coming game ZAAM [ url= ","Nov 22, 2016"
Capitalist Misadventures,"In Capitalist Misadventures, you start off with a crumbling shack in your grandpa’s backyard and a $100 loan from a very shady lender. Is that all you’ll need to launch your empire and get filthy rich? Hire and invest in a questionable workforce — from panhandlers and crypto miners to stray cats with ambition. Play the stock market... or gamble your fortune in less conventional ways. Forge documents, dodge taxes, and do whatever it takes to stay ahead. Ethics are optional. Customize your company! Grow your tiny shack into a ridiculous corporate powerhouse with more money than morals. Featuring jaw-droppingly realistic graphics, get a taste of what it's like to be a ruthless, exploitative entrepreneur in this game that scored a perfect 10 according to my grandma, Gigi. ","Jul 25, 2025"
Everything Ends In 0,"Special thanks to Violet. Without her sacrifice, this game would not be here. Everything Ends In 0 is a game about the end of the world, but you are not a hero destined to save it. In fact, it can't be saved at all - from the moment you start playing, The World is already doomed. No twist, no fine print, no loopholes, no technicalities. Everything. Will. Die. All you can do is wait for it to be over. And hey! while you're at it, why not strike up a friendly conversation? I hear you're quite similar to a couple of those girls, and quite intriguing to a couple others. Besides, it's not like the awkward moments will really matter in just a little bit. So listen to them for a while, to pass the time! Or don't. Again, it really does not matter. You are going to die. CONTROLS: [Z] select [X] 'return' [ARROWS] lose yourself [MOUSE] admire your new forever home [W] move forward [Z] gather","Dec 31, 2024"
Blood of Magic,"Blood of Magic is a small open world role-playing game with turn-based battles. Other elements include crafting, town management, recruitment, and exploration which help improve your experience in Auguston. Welcome to a world of magic, where people and creatures can receive magical capabilities with the infusement of magic energy from rare magical crystals. The most known crystal is the Arcane Crystal which is controlled by the Obrodian Empire, an empire of man. The spoils of war from The Great Elven War over 200 years ago. Ever since the possession of the Arcane Crystal, the Obrodians formed a special order to decide who would be infused by the arcane energies. These individuals had to pass extreme tests both mentally and physically in order to graduate. They would later be known as Arcanists. These arcanist are expert spellswords, with both combat and magic prowess. Although, they have no political power during peacetime, they are given full jurisdiction in certain areas when deployed during war, typically to hold forts, lead armies, or operate intelligence operations. Our story begins when war has broken out between the northern kingdom of man known as Vuista. The Vuista were originally ascendants of the Obrodians, however a civil war broke out over 100 years ago over the use of the arcane crystal. Although, the Vuista were unable to obtain the arcane crystal for themselves, they were able to separate from the southern region and maintain independence against the Obrodians. Recently, the Vuista have uncovered a new magic crystal known as the “Occult Crystal”. The occult crystal allowed extremely easier blood infusions as a host would only need a small trace of the energy to harness it’s energy because the energy itself fed on blood to grow exponentially. This allowed any user to use raw magical power without the need for long training and discipline. However, because the occult energy fed on blood, it would continue to feed until the user was drained from one’s own blood. This caused the user’s flesh to deteriorate until there was nothing left leaving them a soulless husk. The Vuista used this to their advantage and infused the blood of ordinary foot soldier sending them to the frontlines against the Obrodians. The Obrodians army was much stronger and organized than the Vuista, but the charge of so many magic users took its toll on the Obrodians when the Vuista finally broke into Obrodian territory just a little over a year ago. The arcanist program was accelerated and students were sent into action before graduation. The top students were sent to the more important locations while the possible graduates were sent on patrol missions or small garrisons. You are one of these students. You are sent away from the frontlines and more towards the south to a small mining town of Auguston. An arcanist student was sent there 6 months ago to maintain a steady shipment of iron for the war efforts and to stop any troll incursions to the west from what’s known as “Monster Mountain” where tribes of monsters make regular raids against Obrodian settlements. However, ore shipment has stopped 3 months ago and any attempt for communication has failed. You are given full jurisdiction of Auguston, tasked with the investigation and reinstatement of Auguston’s ore shipments. Build new buildings which offer new followers, resources, and crafting recipes. Upgrade existing buildings to gain enhanced versions. Recruit citizens and travelers to help you fight in battle. Discover unique followers and gain their loyalty. Find and harvest materials to craft battle essentials. Fight various people and creatures during your adventure. Discover new passages and entrances. Stayed tuned regularly as we will be implementing new updates regularly, including new features not yet mentioned. Thank you for taking the time to view our Early Access Game and we appreciate your business and feedback. The project’s success relies on the involvement of the community and we hope you like the direction we are headed in with Blood of Magic. Made By stoneworks Games Stone Aged Gaming-","Dec 18, 2015"
Ticktock,"Ticktock is a deceptively fast-paced arcade action game. Think fast; every fleeting second may be your last. Survive waves of monsters. Survive all 11 stages. Survive until the end . Ticktock is a unique action arcade avoidance game, where time pauses to give you a moment to evaluate the situation and plan your next move. With five different monsters to fend off, and 11 different stages of increasing difficulty, a great challenge lies ahead. Each stage and monster is uniquely hand-crafted to be predictable, yet complex. Six different pieces play alongside each stage, complementing the aesthetic of the gameplay to form a complete experience. Will you be able to survive? How long can you survive? ","Jun 25, 2018"
Talewind,"What is Talewind? Talewind is a VERY HARD 2D platformer with the wind as a core mechanic, mostly suited for hardcore platforming fans and completionists. You can jump, glide and move trough wind tunnels in order to travel across the levels. Play through FIVE different worlds filled with beautiful hand-painted environments. Don't let its looks fool you, you are going to need some serious mechanical skills to reach the end. The Story You live in a small village at the bottom of a mountain. This mountain is not like the others though. Surrounding it, strong winds never cease to blow. To this village the wind is a blessing, a never ending source of energy essential to everyday life. But one day, the wind gets weaker and starts to fade. You set off on a journey to climb the mountain and find out what is happening.","Sep 22, 2016"
Kogarashi,"Kogarashi tells the story of Abura Akago, a fire demon that lived ignoring the ice demon Yuki Onna and her evil deeds, until one day she went too far and stole the soul of his mother. At that moment Abura Akago armed with his flaming sword decided to free the region from the evil ice spirit and her demon army. 3D Hack N’ Slash combat against several enemy types that will test your skills in different ways. Epic battle against a unique final boss. Two final attacks that will let you execute your enemies or unleash a fiery dragon that will push all foes away. Beautiful frozen medieval Japanese aesthetic style, featuring an original soundtrack. Optional collectibles revealing the lore of the world. This game was developed as a student project at DigiPen Institute of Technology Europe - Bilbao and was created for educational purposes only. Please check out our publisher page for more information.","Jul 2, 2022"
Synth Swinger,"Are you Ready to Swing? This upcoming first-person platformer very much has the visual appeal and sheer electricity of gameplay. As for its mechanics, it will feature swinging via grapple, jumping, and wall-running, all of which are set in an amazing neo-lit world. Early Access Includes Full playable game and training area for you to further explore your skills. ","Oct 4, 2020"
Märchen Kanna,"More about Marchenkanna ・The RPG that travels through a world with a picture book-like ambience. 　Developed by one person, including graphics and music. ・The story takes place in a peaceful world where wizards live. 　The whole picture of the world is gradually revealed. What is hidden in the shadows? ・ In battle scenes, an unusual system that specifies the shape and range of attacks according to the placement of enemies. 　You can think about it carefully, or you don't have to think about it. It can be enjoyed by beginners and gamers alike! ・It takes about 5~6 hours to clear. There is no scenario branching, so you can play easily and quickly. 　Please enjoy this work with a lot of fun and excitement. Other ・ There are some slightly shocking scenes! (Contains horror elements, anxiety expressions, mild gore expressions, expressions related to suicide, expressions reminiscent of war, and scenes in which weapons are used) ・ Permission is not required for the act of earning money through play video distribution, etc. Please feel free to do so. ・All can be played for free. There are no plans to add paid content. ","Feb 29, 2024"
Nancy Drew®: Danger by Design,"Nancy Drew®: Danger by Design is a first-person perspective, point-and-click adventure game. The player is Nancy Drew and has to solve a mystery. Explore rich environments for clues, interrogate suspects, and solve puzzles and mini-games. Fashion designer Minette might be at the height of her career, but rumors have been flying about her bizarre behavior. Is this designer diva coming apart at the seams, or is someone keeping her spring collection unfashionably behind schedule? It’s up to you, as Nancy Drew, to travel to Paris for an internship and sew up this case in style! Discover the inner workings of the fashion industry. Experience Parisian life—dining at a café, translating French, and riding the Metro. Skin dive and snoop around the creepy catacombs. Haggle with merchants for souvenirs. Solve puzzles based on concocting parfaits, developing photos, and completing circuit boards. Erase mistakes by using the ‘Second Chance’ feature.   About The Nancy Drew Adventure Series The original #1 selling PC adventure series. ","Oct 10, 2009"
ITRP _ Gas Prison,"In fact, a short description of this game has deceived you. You will be required not only to be attentive, but also to react in a timely manner, to have intelligence and a good memory. ITRP _ Gas Prison will allow you to arrange a little test. You will find yourself in a system of cells, each of which can slam and poison you with gas. Keep an eye on the indicators to prevent this. However, the conditions under which you will be placed will not allow you to save all cells. Some will have to be sacrificed. And there are few useless ones among them: Some contain maps or timers. Some stores interactive monitors for system management. Some just has a lot of passages. The game is NOT designed to test your reflexes, reaction, accuracy or ...patience. It is designed to test your attentiveness, intelligence, ability to think ahead. Even if you need time to get used to and remember the location of the functional points, nevertheless, you will learn the detailed rules inside.","Oct 8, 2021"
Desolation Tycoon,"The world has ended, but life moves on. Your home is a wasteland scoured by winds blowing in from a caustic sea. Most large mammals are extinct, and insects have filled their roles. You are a merchant traveling this land in search of profit. Each character you play starts with a randomly generated history and traits. And eventually, each character's career will come to an end — whether through successful retirement or tragic death. The game remembers everything you do, and the world is persistent across characters. As a consequence of your actions, civilization will slowly grow and rebuild. Accomplishments accrued across any number of characters will unlock new cities, new crew units, new challenges, and so on. There is no fixed storyline. Instead, you have a setting, a set of gameplay mechanics, and complete freedom to do with that what you will. Core features: Travel, trade, and defend your cargo from dangers. Improve your skills through usage. Find and explore places that are worth plundering. Build relationships with city notables, and co-operate with them on various schemes. Rebuild a persistent world across multiple lifetimes. Make trade-offs in encounters that are purely decision-driven, and avoid grindy minigames. Enjoy a high-information user interface that doesn't ask you to remember things unnecessarily. Example challenges: Local climate calamities. Giant insects, bandits, and much worse. Each character will automatically retire if they live long enough; this does not leave enough time to develop all possible skills. Networks of supply and demand are randomized between playthroughs. You can't stay in a trade route rut, because trading with the same cities too much will make it less profitable. You and your crew can become injured or sick — and possibly die as a result. The locals that you trade and scheme with have minds of their own, and may betray you. Performance-enhancing symbiotes may seem like a great idea, but can lead to unfortunate side-effects. Oh, and there are also demons. They complicate everything. This is not an action-oriented game. Time doesn't pass unless you're doing something, and there are no real-time challenges. Instead, gameplay is strictly about the making of intelligent trade-offs in an open-world setting with many potential courses of action.","Jan 14, 2022"
Waves Of Death VR,"Waves of Death VR Kill Or Be Killed! Following a tragic error by scientists working for the army, a viral compound, never before seen, spreads across the city, bringing the dead back to life. All the dead… Ever since, terror has gripped the area, prey to sudden attacks from zombies, skeletons and genetically modified monsters, who have escaped from the cemeteries and a secret army laboratory to devour the population. Jake has just received a call from his friend Lilly whose house is surrounded by the living- dead. The young man will have to cross the city to save his loved-ones. His journey will be strewn with pitfalls. Luckily, he can call on an impressive arsenal. He has little time in which to act and to do so, he will need to eliminate the threats: zombies, skeletons, the bosses… A whole world of terror, coming straight out of hell. The countdown begins ! Waves of Death VR is a first person shooter game (FPS). Developed on Unreal Engine® 4, also available in a conventional version on Steam under the name of Waves of Death. This game of “survival” with a time limit to increase the stress of the player has 26 levels in which to reach the highest score. The player has to advance and survive against hordes of zombies, skeletons and bloodthirsty bosses, ever more powerful and resistant. The interface is easy to use. This is a classic HUD. Particular work has gone into meta-representations (e.g. hits and blood). There are two levels of difficulty. WEAPONS Throughout the adventure, the player is offered new weapons, always more powerful and more effective. These weapons are unlocked at the end of the winning game and, above all, according to the number of points obtained. ENEMIES Enemies are numerous and come in three categories. Zombies, skeletons and the Bosses. Their powers grow during the game and some of them can handle guns or have superpowers. The skeletons are generally faster and better equipped. Coming from the most ancient cemeteries, they are from an era when swords were used as weapons in battle. They wear protection, use shields and are particularly good at fighting. They are generally present in the countryside, around big cities, in villages or forests. Some, more dangerous, live in the catacombs… By definition, the zombies are slow but they move in numbers. They like to make human contact and approach Jake to try to devour him. Some are more intelligent and may use weapons, but they are rare and appear in the very last levels. They are usually present in the city or on the main roads. The Bosses are larger, more powerful and have been genetically modified by the army. They escaped from a secret laboratory and put the surrounding chaos to good use to climb to the top of the food chain. Their attacks are devastating and risk destroying you, if you are not well armed. ASSAULT WAVES Each level features 3 waves of enemies, with Bosses punctuating the adventure at strategic points. The game comprises 26 levels, with each player having to complete 78 stages to arrive at the end of the mission and so free Lilly. Polygone Games Studio Unreal Engine® 4 FPS 2 levels of difficulty. 26 maps","Apr 17, 2020"
Gravity Ball,"Test your reflexes! Gravity Ball is a game where you aim to make the best score. To do this, avoid obstacles on the path of your ball. You will only need your mouse, just click once so that your ball moves from one wall to another. Each click gives you 1 point. It is an arcade-style game that allows you to relax while watching a video or to entertain yourself while loading another game for example. ","Oct 5, 2017"
Miko Adventures Puffball,"INSPIRED BY THE WORLD DESIGN OF THE SOULS-LIKE GENRE The WINNER of GDWC fan favourite (WEEK 17) Get ready to embark on an epic, fun, cute and challenging journey of Miko. Miko Adventures Puffball tells the story of an epic adventure that merges unique puzzles with challenging platforming and lots of dangers to deal with. In the world of Puffball you play as Miko, a raccoon who lost his way while wandering through the forest, Miko discovers a portal and upon touching it he finds himself in a world full of dangers. Miko is transported into another dimension and your goal is to help him find a way back home but it wont be an easy journey, are you ready for the challenges awaiting you? THE GAME WORLD Consists of 14+ massive unique levels each with their own style and challenges, every level feels like a new world to explore, each of them have different sections connecting with each other. COLLECT Collect lots of diamonds to earn different types of medals or unlock new levels. SOLVE UNIQUE PUZZLES To progress further in the level and get to new sections. FIND SECRETS There are many secrets hidden around in every corner. CHALLENGING GAMEPLAY Fight many types of monsters each have their own way to deal with. UNIQUE ART STYLE The world of Miko Adventures Puffball is full of Colors With a very cute, unique and detailed art style. REPLAY VALUE After you finish the story, there is lots of replay value in “Miko Adventures Puffball” as you go back and replay some levels to unlock certain types of medals or to unlock more achievements and get 100% completion. ABOUT CORIANDER GAMES Hi, my name is khaled Coriander Games is a one-man indie game development studio based in Egypt, Game development has always been my passion and I'm doing my best to bring fun, challenging, unique and polished games into the world, my main goal is to give you quality games. “Miko Adventures Puffball” has been in development for more than 2 years, I’m so happy to be sharing with you my biggest achievement, expect a lot more polished games to come, this is just the beginning. Thank you so much for being here.","Sep 15, 2021"
Rolling Macho:Tumbling to Earth,"Rolling Macho: Tumbling to Earth is a rolling action game where you roll and squat your way back to Earth after being stranded in space. ■Unique Controls Explore the unique and challenging 'Rotation Control Mode' where your character spins as you rotate the stick. The game starts with a standard control method, making it easy for anyone to enjoy. When you're ready, dive into the challenge of mastering the unique 'Rotation Control Mode,' where your character spins as you rotate the stick. ■Unique World There is no time to worry about why macho is in space or why he does side rolls. All you need to understand is that he is in space and must return to Earth. ■Simple Rules The only way is up! All you need is the physical strength to keep rolling and the determination to never give up. ■Various Areas As you progress, the environment changes, demanding different strategies. To survive in space, you must adapt to the situation. ■Great Music The music changes with each area and will make you feel excited. Enjoy the carefully curated soundtrack. ","Jan 30, 2025"
Cicadas - The IQA Edition,这是一款高中恋爱题材的GALGAME，游戏剧情以小说形式呈现故事的发展，游戏里除了配有动听的音乐，主要角色还全程配有语音。在游戏进程中，玩家通过选项与动画美少女互动从而影响剧情。 ——在六年前的初夏，我的第一次人生结束了。 六年前的一场地震，失去了家人，以及大部分的记忆的少年。 被收养，接纳，拥有了一个新的名字——东方晨。 那份因记忆的空白而生出的不安，终于在回归普通的生活中一点点淡化。 平淡岁月里，逐渐忘却的记忆，与那年的蝉鸣一起，被封存在了黑暗深处。 “对不起，我还在等，在他找到我之前，我没办法和任何人在一起。” 在漫长等待的谎言中左右徘徊的少女。 “为什么，一旦有他们的介入，我喜欢的所有东西，都会变成一种折磨呢。” 在无形的沉重枷锁中渴望自由的少女。 “星星和这座城市的夜景⋯⋯区别很大⋯⋯因为⋯⋯是生和死的区别。” 在漆黑无尽的夜空中找寻光明的少女。 关于记忆的故事，伴随那一声声夏日蝉鸣，今夏，回荡在你耳边。 夏空 身高：169CM 体重：50kg 年龄：16岁 隐藏属性的青梅竹马，名正言顺的友好邻居兼同班同学。 运动神经和战斗能力均为MAX，目前的必杀技是“百八式波动拳”，杀伤力不容小觑。 虽然为人洒脱不拘小节，但内心也有小女生的一面。 一直在等人，但不知道等不等得到。 因为 ——“那些关于爱的记忆，即便只会带给人伤痛，也始终不愿将其忘却。” 沈樱 身高：155CM 体重：40KG 年龄：17岁 主人公的学霸同桌，善良的作业小帮手。 微笑是最常用的表情，身上总带着无法逾越的距离感，所以存在感稀薄。 虽然成绩很好，但平常的反应总是比人慢半拍。 无论过去未来还是现在，都喜欢看星星。 因为 ——“极致的绝望是漆黑的夜，渺小的希望是夜里的星。” 欧阳羽 身高：162CM 体重：46KG 年龄：15岁 成绩，外貌，家庭，似乎都完美得令人羡慕。 沉默寡言，脸上很少有笑容，总透露出令人难以接近的气场。 朋友很少，自己也并不因此而烦恼。 喜欢提拉米苏，更喜欢弹钢琴，最喜欢随心自由的弹钢琴。 因为 ——“梦想是自由的翅膀，而非禁锢的枷锁。” 东方晨 男主角，艺体生，擅长吉他，技术中上。 因为一次地震失去了大部分记忆，也因此患有较为严重的幽闭恐惧症。 性格相对稳重，对执着的东西很富有责任感，但从未有过远大的抱负。 十分珍惜目前平静的生活，因为⋯⋯ ——“我喜欢平常的每一天。” 东方信 东方晨的弟弟，上得厅堂下得厨房，长着一张很秀气的脸。 心思细腻，脾气温和，将东方晨的饮食起居打理的井井有条，不过⋯⋯ 有女朋友。 ——“冰箱里有炒饭，用微波炉热一热就能吃，切记，两分钟就够了！” 易震风 东方晨的好基友，爱好是上网和撩妹，资深留级生。 虽然生得一张好皮相，但拥有一张唯恐天下不乱的嘴，以及厚可比城墙的脸皮，唯一的克星是夏空。 钱包经常被一群人拿来开小灶。 ——“可⋯⋯恶⋯⋯我⋯⋯我的⋯⋯钱包⋯⋯对⋯⋯对不起⋯⋯我没能⋯⋯守护你⋯⋯。” 林玉萧 东方信的女朋友，家世不错，文静有礼貌的乖乖女。 心地善良，有些腼腆，虽然话不多，但行动力很强。 ——“只要你们需要，我随时都会帮忙。” 欧阳潇 欧阳羽的父亲，成功人士。 将自己的原则贯彻始终，是个原则性很强的人。 ——“这是你所作的决定，我会支持你，但你必须好好努力，必须成为站在顶端的那个人。” ,"Oct 7, 2019"
Soulestination,"Soulestination' is a magic tower (fixed-value strategy RPG) game that incorporates meta elements. Players need to control Rovia as the Savior, fight the enemy in the process of exploring the world, and gradually see the essence of the world. The girl Rovia was summoned to the world 'Kaladore' and told that she was the new Savior of this world. She accepted the task of saving the world, set off for the Sacred Place in the north of the world. Along the way, she witnessed what is happening in this world on the verge of destruction. At the same time, she will also witness the secrets hidden behind... Features · More than 300 well-designed maps, more than 20 different styles of areas · Revealing the essence of the world as you explore further · More than 200 enemies, with dozens of different skills. You need to organize strategies for each enemy with unique skills · Nearly 30 unique Evil Soul bosses, which require a certain strategy to reduce the damage taken in defeating them. · Dozens of unique Weapons and Soul Artifacts. There are countless ways to beat the game. · 3 modes of difficulty are carefully balanced, allowing both casual players and hardcore players to enjoy the strategy of this game. · Playtime of more than 10 hours. It will surely bring you a strategic feast. · Puzzles with metagame element. Be surprised by them! Warning: Important decisions will have permanent consequences. Please make every decision in the plot carefully. This game contains a demo (3 h+) with the content of the first chapter of the game. If you are not sure whether the game is worth buying, it is recommended to try the demo first. You may join the discord by link","Jan 5, 2021"
Imaginary Chaos Fight,"Imaginary Chaos Fight is a 2D PvP fighting game where each character has unique abilities and mechanics that add a new layer of strategy to each match. Each of the six fighters presents distinct advantages and disadvantages: while some have powerful but slow attacks, others rely on speed and agile moves to dodge and counterattack. The abilities of each character are carefully designed to either complement or counter each other in combat, offering a dynamic experience full of strategic possibilities. Additionally, the game features unique and interactive maps, such as Jungle and Vulcan, which add exclusive mechanics to the battlefield. In the Jungle map, players are immersed in a dense forest with strategically positioned teleportation portals, allowing for quick movement between distant points on the map and surprising opponents. In the Vulcan map, players face a terrain filled with active geysers that provide powerful boosts for those who know how to use them strategically. These geysers allow players to quickly reach elevated areas, escape attacks, or surprise opponents with unexpected moves. Imaginary Chaos Fight combines these character and environment mechanics to create an intense and unpredictable combat experience, where character choice and map adaptation are crucial to achieving victory. ","Dec 19, 2024"
Amigo: Kebab Simulator,"Friend! Welcome to my local Doner Kebabs. I need your help to run my business while I'm away. You will have to take care of placing the orders, keeping the premises clean and properly serving the customers; because these bastards get involved in putting negative reviews and in the end the health workers close the business for me. Although illo, they say that if you only have positive reviews they give you a prize with a piece of money, but I have never seen one of those in my life. If you need it, you can improve the place by buying more furniture. Well, I'll leave you with the Shawarma, you're already telling me. We are aware that the game has bugs, all bugs or improvements will be patched","Apr 3, 2023"
Kitchinko,"Join the Kitchen Crew as they make different meals from around the world! In this arcade game, fire away at the pegs on screen to be able to clear out the red plus pegs, and advance to different levels! Race to get the fastest time and brag to your friends! Shoot shots clearing some or all the pegs on screen. As you progress unlock access to more Appliances (and eventually other Kitchen Crew members) to give you different types of power ups for your shots. Power ups unlocked by clearing Frowny/Smiley faced blue pegs. Reveal different meals made by the Kitchen Crew with: - 21 Levels! + Make 7 Levels of your own! - Custom Level editor! - 3 Kitchen Appliances! - Up to 3 Stars awarded for beating each level! !(Intend to increase all the above as we continue to develop through Early Access) You get to shoot balls from the top of a screen down into arrays of pegs. The balls clear pegs that they hit after the ball is gone. If you clear all the red plus pegs before you are out of pegs you beat the level and can advance on to another level! If you don't clear all the red plus pegs, you'll need to retry the level until you have cleared the red plus pegs from that level. By hitting enough pegs to get 700 points you'll early an extra ball back, and you can earn a ball back by having the last shot ball go into the Ball Pot at the bottom of the level.","Jan 8, 2025"
HauntedManager,"『HauntedManager』 is a story about opening a haunted house with ghost staff, where the goal is to ensure no one ever reaches the end. Enjoy a primitive top-down tower defense experience while managing admission restrictions and budget. Description You are the manager of a haunted house. Frighten your guests into leaving before they reach the goal. Command the playful ghost staff. Guide guests who start crying to the exit, so they don't ruin the experience for others. Occasionally, elite ghosts from the main mansion will come to harass you. You can either fend them off or recruit them. Other Information A short game lasting 2-3 hours. An easy mode is available. Includes some hand-drawn animations. Featured Ghost Staff Doppelgänger: Not even they know whose doppelgänger they are. Essentially just a human. Blakra: The embodiment of the once-famous Blakra. Now too well-known to scare anyone. Hachishaku: Despite being only seven shaku tall, they make up for it with physical prowess. They're also good at basketball. And many more!","Aug 6, 2025"
RoomNo.404,《404号房间》是一款都市生活题材的视觉小说。 实习中的大学女生尉迟语住入租价低廉的老旧小区后竟遭遇灵异事件， 与幽灵共用一副身体，两周后二人便会一并烟消云散——命运被系在一根绳上的两位女孩究竟会何去何从？ 了解尉迟语以及她身边的人，将所有人的经历拼接起来，一睹故事的全貌。 随着故事的推进寻找脱险之法，达成完全不同的结局。 借顷刻光阴便洞察来往过客未免痴想，但愿这相遇并非竹篮打水的枉然， 彼此误解，互相温暖，和萍水相逢的同旅者继续漫步下去，亦或是，带着笑容道别。 在世纪交替的岁月里诞生的年轻人们，将要把这段回忆讲给你听。 游戏特点： 文本内容方面，以视觉小说为载体，但相较于常见的类型小说选题，更倾向于文学小说的表达。 从情景剧风格的讽刺小品中品尝“或许能让舌头试出咖啡味道”的黑色幽默。 图像内容方面，在故事推进至重要情节时采用手绘风格漫画演出的表现形式。 根据玩家的选择，呈现不同的漫画分镜。 游戏内容： 三条不同的故事线，18种不同的结局。 文本约22万字，剧情漫画154张。 玩家交流QQ群：913418728 期待着在小小房间里与您的相遇。 ,"Jul 24, 2024"
Fear deeps,"Game Description: This is a horror game. You wake up from a room and see a letter written by Lily. The content of the letter tells the story of Lily's work. Because Lily changed the patient's medicine by mistake, the patient's condition became more serious, so Lily was expelled from the hospital. Lily changed her new job and then went to a nursing home, but who knows that there are even more bizarre things here. Lily became more and more wrong to write to you, but she was finally caught by the dean! Lily had no choice but to send you the last letter for help. After you received it, you went to the nursing home to save Lily! You need to manipulate the protagonist to explore the key in the nursing home, step by step until you open the basement door and go to Lily's trapped room to save her, but you should always be alert to the terrible monsters hiding in the nursing home! Game Operations Move: WASD, Observe: Mouse, Flashlight: If you have a battery, press F to turn on and off the flashlight, Hide: If you are hunted by a terrible monster you can press Ctrl to crouch under the table, Interaction: There are some items in the game that can be interacted with, you can press E to interact, Inhibitor: If you have an inhibitor, you can press the left mouse button to eject, Monsters: Monsters patrol around every corner, keep an eye out for your room door closed! Monsters have keen vision, and if they are targeted, they will go out of their way to hunt you down! Game Story: In the beautiful morning, you receive a letter from Lily, who tells you that she has changed jobs and works as a doctor on call at a psychiatric nursing home. And tells you to wait for her to come back, but the good times don't last long, and as she works in the nursing home for more and more time, Lily discovers something strange. The patient would make strange noises at night, and Lily initially thought that the patient was using the wrong medicine, until she saw the dean's strange behavior. Unexpectedly, Lily is discovered and imprisoned by the dean, and Lily does everything she can to send you one last letter... Psychiatric Sanatorium: You bravely enter the spiritual sanatorium, a place full of horrors and unknowns. The gloomy and terrifying atmosphere of the madhouse symbolizes the fear and madness that lies deep within the human heart! Dean's Experiment: The Dean's human experiments symbolize interference and desecration of order, reflecting the human desire for power and control, as well as the boundaries of scientific ethics. Variation: Tom's mutation is not only an outward physical change, but also a profound transformation of his inner world, from an ordinary person to an existence with supernatural powers. Inner Storm: The storm symbolizes the wild forces of nature, as well as the turmoil of the protagonist's inner world. The appearance of the storm coincides with the moment of Tom's physical mutation, symbolizing a drastic change in his identity and fate. In the midst of the storm, Tom begins to feel the mutation of his body, and this fear and uncertainty about his identity and future further exacerbates his inner storm. Not only does he have to face the pain of losing his lover, but he also has to face the fear that he could turn into a monster. ","Jan 2, 2025"
Anima Gate of Memories: I&II Remaster,"Anima Gate of Memories I&amp;II Remaster brings together two acclaimed action RPGs in one enhanced game! Anima is a third-person action RPG that weaves together two fates—one of a legendary monster and a mysterious girl with no memory of her past, the other of an immortal soul cursed to wander the world forever. Their existence will take an unexpected turn when they discover that all of them have been involved in something sinister, a war in the shadows in which they will have an involuntary leading role in opposing sides of the table. Experience the original Anima: Gate of Memories and its companion story Anima: The Nameless Chronicles — both fully remastered with improved visuals and gameplay. Explore a rich fantasy universe inspired by the Anima Beyond Fantasy tabletop RPG saga, filled with deep lore, fast-paced combat, and branching storylines shaped by your choices. Whether you're new to the saga or returning, this is the ultimate way to discover the world of Anima. Features A deep story. Uncover the secrets of the Tower of Arcane in a mysterious tale where nothing is as it seems. Your choices shape the journey, and your actions determine the fate of those within. A combat system which combines RPG elements with fast paced action. Unleash spectacular and dynamic move chains with the Dual System — seamlessly switch between characters with a single button to create thrilling combos. An interconnected world full of unique locations made of memories. Travel through the tower of Arcane discovering its secrets. Each character has a large set of special skills that you will be able to develop and customize as in a traditional RPG. ","Nov 7, 2025"
PAYDAY 3,"Step out of retirement back into the life of crime in the shoes of the Payday Gang, the envy of their peers and the nightmare of law-enforcement wherever they go. Several years after the crew’s reign of terror over Washington DC has ended, they assemble once again to deal with the threat that roused them out of early retirement. The legendary Payday Crew, dreaded by the law and underworld alike, is back. Ripped from their peaceful retirement to rejoin the criminal world by a new threat, one born from the chaos the Crew left in their wake. In order to identify and crush this new threat, the Crew is leaving their Washington DC roots behind them and moving to New York City. A new location will bring with it new challenges, but also new opportunities for a heister with a plan. Give outlet to your greed and let loose in PAYDAY 3. In addition to gold, cash and jewelry and any other valuables they might come across, you’ll be able to build a sizable collection of weapons, cosmetics and accolades. It won’t be as simple as showing up and gaining goodies. You’ll have to work hard and plan smart to get away with as much loot as possible. Gain experience, unlock new skills and gain proficiency in weapons to steadily grow your power to handle the tougher challenges. A professional heister knows it takes planning, hard work and a good amount of luck in order to execute a successful heist. In PAYDAY 3 the choice is put in the hands of the players, deciding how to tackle the heist, whether you sneak or go in guns blazing, whether you let your hostages go or keep them around as pawns, whether you go at it alone or bring friends. The choices are endless and in your hands, they will vastly change how the game plays. Not just anyone is worthy of standing at your side for something as important as a heist. Likewise, PAYDAY 3 is best enjoyed with close friends in mind, whether you bring them from your childhood or make them along the road. The PAYDAY-series has always valued the bonds made through hardship and tries to reflect that in the actions and words of our heisters while in the game, and through our community while on the outside. ","Sep 21, 2023"
